Orgao Responsável,Título,Link,Tipo,Data de Publicação,Resultado
PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA,EDITAL N. 03/2021 PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA - SELEÇÃO DE ALUNOS PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – CAMPI UBERLÂNDIA E ITUIUTABA,http://www.editais.ufu.br/node/5103,Estágio UFU,02/03/2021,Não Publ.
DEPAE,EDITAL DEPAE Nº 1/2021,http://www.editais.ufu.br/node/5101,Monitoria,01/03/2021,Não Publ.
IFTM - Campus Ituiutaba,Oportunidade de Vaga de Estágio Curricular Obrigatório na modalidade remota,http://www.editais.ufu.br/node/5097,Estágio UFU,25/02/2021,Não Publ.
Coordenação do Curso de Medicina,EDITAL COMED Nº 6/2020,http://www.editais.ufu.br/node/5062,Estágio UFU,30/12/2020,Não Publ.
PIBID/UFU,Edital 07/2020 - PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA SELEÇÃO DE ALUNOS PARA COMPOSIÇÃO DE LISTA DE ESPERA PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – Campi DE UBERLÂNDIA E ITUIUTABA,http://www.editais.ufu.br/node/5051,Estágio UFU,01/12/2020,Não Publ.
Instituto de Ciências Biomédicas,EDITAL DIRICBIM Nº 5/2020,http://www.editais.ufu.br/node/4996,Estágio UFU,28/09/2020,Não Publ.
Programa PET,Edital de seleção de alunos para ingresso no PET Engenharia Química,http://www.editais.ufu.br/node/4991,Programa PET,23/09/2020,Não Publ.
DIRCO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A),http://www.editais.ufu.br/node/4986,Estágio UFU,21/09/2020,Não Publ.
PIBID/UFU,Edital 01/2020 - PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA,http://www.editais.ufu.br/node/4973,Estágio UFU,11/09/2020,Não Publ.
PIBID/UFU,Edital 02/2020 - PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA,http://www.editais.ufu.br/node/4974,Estágio UFU,11/09/2020,Não Publ.
FEELT/Eng. Eletrônica e de Telecomunicações - campus Patos de Minas,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) - CENTRO DE IDIOMAS,http://www.editais.ufu.br/node/4972,Estágio UFU,09/09/2020,Não Publ.
DEPAE,EDITAL DEPAE Nº 5/2020,http://www.editais.ufu.br/node/4966,Estágio UFU,26/08/2020,Não Publ.
Across,Programa de Trainee do Banco Safra Technee 2020,http://www.editais.ufu.br/node/4954,Estágio UFU,06/08/2020,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE MONITORES - PERÍODO DE ATIVIDADES ACADÊMICAS REMOTAS EMERGENCIAIS – 2020,http://www.editais.ufu.br/node/4951,Monitoria,31/07/2020,Não Publ.
DIRILEEL,EDITAL UFU/DIRILEEL Nº 4/2020/CEAD,http://www.editais.ufu.br/node/4912,Estágio UFU,13/03/2020,Não Publ.
PET Matemática,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET MATEMÁTICA,http://www.editais.ufu.br/node/4910,Programa PET,12/03/2020,Não Publ.
COMED,Edital COMED 2/2020,http://www.editais.ufu.br/node/4894,Estágio UFU,27/02/2020,Não Publ.
CEPAE,EDITAL CEPAE Nº 1/2020,http://www.editais.ufu.br/node/4892,Monitoria,19/02/2020,Não Publ.
DIRFEQUI,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) NO ÂMBITO DA FACULDADE DE ENGENHARIA QUÍMICA,http://www.editais.ufu.br/node/4889,Estágio UFU,11/02/2020,Não Publ.
Imobiliária Flecha Corretores,Oportunidade de Vaga de Estágio,http://www.editais.ufu.br/node/4887,Estágio UFU,10/02/2020,Não Publ.
CEPES,ICV_CEPES Nº 01/2020/CEPES,http://www.editais.ufu.br/node/4879,Inic. Científica,29/01/2020,Não Publ.
PET-Telecom,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÕES,http://www.editais.ufu.br/node/4859,Programa PET,26/11/2019,Não Publ.
HCU-UFU,Edital 041.2019 Gerência de Risco HCU-UFU,http://www.editais.ufu.br/node/4849,Estágio UFU,18/11/2019,Não Publ.
PET ENGENHARIA DE ALIMENTOS,Edital No 02/2019 Edital No 02/2019 SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ENGENHARIA DE ALIMENTOS,http://www.editais.ufu.br/node/4851,Programa PET,18/11/2019,Não Publ.
PET,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET-SI,http://www.editais.ufu.br/node/4843,Programa PET,11/11/2019,Não Publ.
DIRCO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A),http://www.editais.ufu.br/node/4832,Estágio UFU,04/11/2019,Não Publ.
FACOM,EDITAL FACOM Nº 4/2019 Oportunidade de Vaga de Estágio - FACOM Monte Carmelo,http://www.editais.ufu.br/node/4831,Estágio UFU,01/11/2019,Não Publ.
PET – Programa de Educação Tutorial,EDITAL 01/2019 DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ECONOMIA,http://www.editais.ufu.br/node/4807,Programa PET,11/10/2019,Não Publ.
HCU-UFU,Edital 037.2019 FÍSICA MEDICA OBRIGATÓRIO/HCU-UFU,http://www.editais.ufu.br/node/4798,Estágio UFU,07/10/2019,Não Publ.
HCU-UFU,Edital 038.2019 SCIH - ENFERMAGEM/HCU-UFU,http://www.editais.ufu.br/node/4799,Estágio UFU,07/10/2019,Não Publ.
HCU-UFU,Edital 039.2019 - CREDESH - ENFERMAGEM/HCU-UFU,http://www.editais.ufu.br/node/4800,Estágio UFU,07/10/2019,Não Publ.
HCU-UFU,Edital 040.2019 Gestão Acadêmica_Apoio Audiovisual_ HCU UFU,http://www.editais.ufu.br/node/4801,Estágio UFU,07/10/2019,Não Publ.
DIRESEBA,EDITAL DIRESEBA Nº 8/2019 PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A),http://www.editais.ufu.br/node/4780,Estágio UFU,20/09/2019,Não Publ.
DIRESEBA,EDITAL DIRESEBA Nº 9/2019 PROCESSO SELETIVO PARA VOLUNTÁRIO DE EXTENSÃO PARA O PROGRAMA DIÁRIO DE IDEIAS NA REDE MUNICIPAL DE ENSINO DE UBERLÂNDIA,http://www.editais.ufu.br/node/4781,Estágio UFU,20/09/2019,Não Publ.
DICULT/PROEXC/UFU,EDITAL DICAR Nº 2/2019 DICULT/PROEXC/UFU/001/2019,http://www.editais.ufu.br/node/4766,Estágio UFU,12/09/2019,Não Publ.
IES,PROCESSO SELETIVO PARA ESTÁGIO ELETIVO OBRIGATÓRIO - ESTUDANTES DE OUTRAS IES,http://www.editais.ufu.br/node/4762,Estágio UFU,10/09/2019,Não Publ.
SECPROGEP,Edital SECPROGEP Nº 4/2019 Processo Seletivo para contratação de estagiário,http://www.editais.ufu.br/node/4763,Estágio UFU,10/09/2019,Não Publ.
Nube,Oportunidade de Vaga de Estágio,http://www.editais.ufu.br/node/4749,Estágio UFU,20/08/2019,Não Publ.
HCU-UFU.,Edital 027.2019 CME/HCU-UFU,http://www.editais.ufu.br/node/4738,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 028.2019 Arquitetura Hospitalar/HCU-UFU,http://www.editais.ufu.br/node/4739,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 029.2019 CAPACITAÇÃO/GDHS/HCU-UFU,http://www.editais.ufu.br/node/4740,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 030.2019 - CREDESH - ENFERMAGEM- HCU/UFU,http://www.editais.ufu.br/node/4741,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 031.2019 BIOENGENHARIA - ENG ELETRICA/HCU-UFU,http://www.editais.ufu.br/node/4742,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 032.2019 SECAMB – HCU/UFU,http://www.editais.ufu.br/node/4743,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 033.2019 CENTRO OBSTÉTRICO – HCU/UFU,http://www.editais.ufu.br/node/4744,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 034.2019 GTI-PEP HCU-UFU,http://www.editais.ufu.br/node/4745,Estágio UFU,19/08/2019,Não Publ.
HCU-UFU.,Edital 036.2019 SCIH (SERVIÇO DE CONTROLE DE INFECÇÃO HOSPITALAR) - ENFERMAGEM – HCU/UFU,http://www.editais.ufu.br/node/4747,Estágio UFU,19/08/2019,Não Publ.
DIRFAEFI,"EDITAL DIRFAEFI Nº 2/2019 Processo Seletivo de contratação de estagiários(as), para atuação no(a) Núcleo Brasileiro de Dissertações e Teses em Educação, Educação Física e Educação Especial (NUTESES).",http://www.editais.ufu.br/node/4736,Estágio UFU,13/08/2019,Não Publ.
DIRQS,EDITAL COIPE Nº 1/2019 - Seleção de estagiário para a DIRQS,http://www.editais.ufu.br/node/4728,Estágio UFU,09/08/2019,Não Publ.
HISTEDBR,"EDITAL DE SELEÇÃO DE MONITORIA PARA O I Seminário Internacional do HISTEDBR, IV Seminário Internacional Desafios do Trabalho e Educação no Século XXI, XI Seminário Nacional do HISTEDBR.",http://www.editais.ufu.br/node/4725,Monitoria,07/08/2019,Não Publ.
FAMEV,EDITAL FAMEV Nº 7/2019 - Seleção de estagiário para a FAMEV,http://www.editais.ufu.br/node/4723,Estágio UFU,06/08/2019,Não Publ.
DIPRO,DIPRO/02/2019 Engenharia Elétrica,http://www.editais.ufu.br/node/4724,Estágio UFU,06/08/2019,Não Publ.
DIRFAUED,EDITAL DIRFAUED Nº 6/2019 PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) FACULDADE DE ARQUITETURA URBANISMO E DESIGN,http://www.editais.ufu.br/node/4717,Estágio UFU,25/07/2019,Não Publ.
ESEBA/UFU,EDITAL DIRESEBA Nº 6/2019,http://www.editais.ufu.br/node/4704,Estágio UFU,15/07/2019,Não Publ.
PROPP,Edital de Iniciação Científica (02/2019) PROPP divulga 2ª chamada dos editais de Iniciação Científica e Tecnológica,http://www.editais.ufu.br/node/4706,Inic. Científica,15/07/2019,Não Publ.
PROPP,Edital de Iniciação Científica Tecnológica (03/2019) PROPP divulga 2ª chamada dos editais de Iniciação Científica e Tecnológica,http://www.editais.ufu.br/node/4707,Mest./Dout./Especializ.,15/07/2019,Não Publ.
CEPAE,"Processo Seletivo para contratação de estagiário 2019-2 para o CEPAE - Centro de Ensino, Pesquisa, Extensão e Atendimento em Educação Especial..",http://www.editais.ufu.br/node/4697,Estágio UFU,05/07/2019,Não Publ.
CEaD/UFU,"Estágio - EDITAL CEAD Nº 1/2019 Processo seletivo de estagiário (a), para atuação no Curso de Graduação em Matemática a distância e Centro de Educação a Distância (CEaD).",http://www.editais.ufu.br/node/4692,Estágio UFU,28/06/2019,Não Publ.
DIPRO,EDITAL DIPRO Nº 2/2019 PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE ARQUITETURA E URBANISMO,http://www.editais.ufu.br/node/4690,Estágio UFU,27/06/2019,Não Publ.
PET – Matemática,Processo de seleção nº 47 de alunos para o PET – Matemática,http://www.editais.ufu.br/node/4686,Estágio UFU,19/06/2019,Não Publ.
PROSSIGA,PROGRAMA INSTITUCIONAL DE GRADUAÇÃO ASSISTIDA – PROSSIGA Subprograma - Combate à Retenção e Evasão - PROCOR 2020.,http://www.editais.ufu.br/node/4683,Estágio UFU,18/06/2019,Não Publ.
HCU-UFU,Edital 024.2019 - UCO - ENFERMAGEM/HCU-UFU,http://www.editais.ufu.br/node/4680,Estágio UFU,17/06/2019,Não Publ.
HCU-UFU,"Edital 026.2019 PS CIRURGIA E CENTRO CIRÚRGICO/HCU-UFU, para alunos regularmente matriculados nos períodos 6º ou 7º do semestre 2019/1 do Curso de Graduação em Medicina da Universidade Federal de Uberlândia.",http://www.editais.ufu.br/node/4675,Estágio UFU,13/06/2019,Não Publ.
Programa de Pós-Graduação em Biologia Celular e Estrutural Aplicadas,Edital PPGBC/ICBIM/UFU 001/2019,http://www.editais.ufu.br/node/4674,Mest./Dout./Especializ.,11/06/2019,Não Publ.
COMED - FAMED-UFU,EDITAL COMED Nº 2/2019 PROCESSO SELETIVO PARA ESTÁGIO ELETIVO OBRIGATÓRIO,http://www.editais.ufu.br/node/4666,Estágio UFU,05/06/2019,Não Publ.
HCU-UFU,Edital 015.2019 - ONCOLOGIA - ENFERMAGEM,http://www.editais.ufu.br/node/4634,Estágio UFU,20/05/2019,Não Publ.
HCU-UFU,EDITAL 020.2019 NÚCLEO DE LINHAS DE CUIDADO - SEPSE/HCU-UFU.,http://www.editais.ufu.br/node/4635,Estágio UFU,20/05/2019,Não Publ.
HCU-UFU,EDITAL 021.2019 - CLÍNICA MÉDICA/ARTES VISUAIS/HCU-UFU.,http://www.editais.ufu.br/node/4636,Estágio UFU,20/05/2019,Não Publ.
PET BIOLOGIA/UFU-UBERLÂNDIA/INBIO,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO GRUPO PET BIOLOGIA/UFU-UBERLÂNDIA,http://www.editais.ufu.br/node/4610,Programa PET,02/05/2019,Não Publ.
PET-EQ UFU,Edital de seleção de alunos para ingresso no PET Engenharia Química,http://www.editais.ufu.br/node/4611,Programa PET,02/05/2019,Não Publ.
IFILO,EDITAL DIRIFILO Nº 1/2019,http://www.editais.ufu.br/node/4613,Estágio UFU,02/05/2019,Não Publ.
HCU-UFU,EDITAL 017.2019 MEDICINA CIRURGIA TORÁCICA,http://www.editais.ufu.br/node/4606,Estágio UFU,30/04/2019,Não Publ.
DIRSU,EDITAL DIRSU Nº 1/2019,http://www.editais.ufu.br/node/4580,Estágio UFU,17/04/2019,Não Publ.
IARTE,EDITAL DIRIARTE Nº 3/2019 - Estagiário do IARTE,http://www.editais.ufu.br/node/4570,Estágio UFU,10/04/2019,Não Publ.
HCU-UFU,PROCESSO CLASSIFICATÓRIO PARA ESTÁGIO OBRIGATÓRIO EM ENGENHARIA BIOMÉDICA NO HCU-UFU 2019/1,http://www.editais.ufu.br/node/4558,Estágio UFU,03/04/2019,Não Publ.
DIPRO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE ARQUITETURA E URBANISMO,http://www.editais.ufu.br/node/4540,Estágio UFU,27/03/2019,Não Publ.
Faculdade de Arquitetura e Urbanismo e Design,Projeto de Extensão para contratação de Bolsista de Extensão Voluntário.,http://www.editais.ufu.br/node/4543,Estágio UFU,27/03/2019,Não Publ.
DIRESTES,EDITAL DIRESTES Nº 2/2019,http://www.editais.ufu.br/node/4528,Estágio UFU,19/03/2019,Não Publ.
DIRESTES,EDITAL DIRESTES Nº 3/2019,http://www.editais.ufu.br/node/4529,Estágio UFU,19/03/2019,Não Publ.
HCU-UFU,EDITAL 004.2019 BIOENGENHARIA_Eng. Biomédica,http://www.editais.ufu.br/node/4521,Estágio UFU,18/03/2019,Não Publ.
HCU-UFU,EDITAL 007.2019 CIRURGIA PLÁSTICA E QUEIMADOS HCU.,http://www.editais.ufu.br/node/4524,Estágio UFU,18/03/2019,Não Publ.
PET Medicina Veterinária,Edital de seleção 01/2019 para ingresso de alunos no Programa de Educação Tutorial (PET) do curso de Medicina Veterinária - UFU,http://www.editais.ufu.br/node/4512,Programa PET,15/03/2019,Não Publ.
DIRFACED,Processo Seletivo para Remoção - Área de Estágio,http://www.editais.ufu.br/node/4513,Estágio UFU,15/03/2019,Não Publ.
ESEBA,EDITAL CONESEBA Nº 1/2019,http://www.editais.ufu.br/node/4502,Estágio UFU,12/03/2019,Não Publ.
FACIC,EDITAL DIRFACIC Nº 1/2019,http://www.editais.ufu.br/node/4503,Estágio UFU,12/03/2019,Não Publ.
ESTES,EDITAL DIRESTES Nº 2/2019,http://www.editais.ufu.br/node/4498,Estágio UFU,11/03/2019,Não Publ.
ESTES,EDITAL DIRESTES Nº 3/2019,http://www.editais.ufu.br/node/4499,Estágio UFU,11/03/2019,Não Publ.
CTI,EDITAL SECCTI Nº 1/2019,http://www.editais.ufu.br/node/4500,Estágio UFU,11/03/2019,Não Publ.
DIRFAMED,EDITAL DIRFAMED Nº 1/2019,http://www.editais.ufu.br/node/4471,Estágio UFU,13/02/2019,Não Publ.
DIRPE,Programa de Tutoria Acadêmico-Científica na Graduação - “Doutor Legal”,http://www.editais.ufu.br/node/4466,Inic. Científica,11/02/2019,Não Publ.
HCU-UFU,Edital 042.2018 CREDESH/ADM.,http://www.editais.ufu.br/node/4408,Estágio UFU,28/09/2018,Não Publ.
HCU-UFU,Edital 041.2018 - Gerência de Risco-HCU/UFU,http://www.editais.ufu.br/node/4405,Estágio UFU,21/09/2018,Não Publ.
CTI,EDITAL 042/2018/CTI/UFU - Desenvolvimento Web,http://www.editais.ufu.br/node/4394,Estágio UFU,12/09/2018,Não Publ.
Programa de Pós-graduação em Engenharia de Alimentos (PPGEA),Processo Seletivo para Ingresso de Alunos Regulares e Especiais - 2019/1,http://www.editais.ufu.br/node/4389,Mest./Dout./Especializ.,10/09/2018,Não Publ.
HCU-UFU,Edital 2018/2 Estágio Obrigatório Engenharia Biomédica,http://www.editais.ufu.br/node/4383,Estágio UFU,05/09/2018,Não Publ.
ICIAG,EDITAL 038/2018/UFU/ICIAG,http://www.editais.ufu.br/node/4382,Estágio UFU,04/09/2018,Não Publ.
HCU-UFU,Edital 035.2018 DIRTEC/Enfermagem,http://www.editais.ufu.br/node/4355,Estágio UFU,28/08/2018,Não Publ.
PET Sistemas de Informação,Edital de seleção de alunos para ingresso no PET Sistemas de Informação,http://www.editais.ufu.br/node/4325,Programa PET,13/08/2018,Não Publ.
HCU-UFU,Edital 033.2018 Pronto Socorro,http://www.editais.ufu.br/node/4330,Estágio UFU,13/08/2018,Não Publ.
Coordenação Institucional da RESIDÊNCIA PEDAGÓGICA,Seleção de residentes interessados na RP/UFU - Campi Uberlândia,http://www.editais.ufu.br/node/4316,Estágio UFU,02/08/2018,Não Publ.
Coordenação Institucional da RESIDÊNCIA PEDAGÓGICA,SELEÇÃO DE ALUNOS INTERESSADOS NA RP/UFU – CAMPI DE UBERLÂNDIA,http://www.editais.ufu.br/node/4317,Estágio UFU,02/08/2018,Não Publ.
Diretoria de Logística (DIRLO),EDITAL 033/2018/UFU/UGR/DIRLO/PREFE - PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO (A),http://www.editais.ufu.br/node/4315,Estágio UFU,01/08/2018,Não Publ.
Programa de Pós-graduação em Administração,SELEÇÃO PARA TURMA DE 2019/1 DO PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO – NÍVEL MESTRADO ACADÊMICO,http://www.editais.ufu.br/node/4305,Mest./Dout./Especializ.,13/07/2018,Não Publ.
HCU-UFU,dital 030.2018 Central de Materiais e Esterilização,http://www.editais.ufu.br/node/4288,Estágio UFU,28/06/2018,Não Publ.
ILEEL,PROCESSO SELETIVO PARA ESTAGIÁRIO (A),http://www.editais.ufu.br/node/4291,Estágio UFU,28/06/2018,Não Publ.
Programa de Pós-graduação em Direito (PPGDI-FADIR-UFU),EDITAL DE ABERTURA DAS INSCRIÇÕES E DO PROCESSO DE SELEÇÃO PARA INGRESSO AO PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO – TURMA 2019,http://www.editais.ufu.br/node/4285,Mest./Dout./Especializ.,25/06/2018,Não Publ.
RP/UFU - Campi Uberlândia,Seleção de alunos interessados na RP/UFU - Campi Uberlândia,http://www.editais.ufu.br/node/4276,Estágio UFU,19/06/2018,Não Publ.
HCU/UFU,Edital 024.2018 PS Cirurgia e Centro Cirúrgico/HCU/UFU,http://www.editais.ufu.br/node/4273,Estágio UFU,15/06/2018,Não Publ.
HCU-UFU,Edital 028.2018 Credesh/Enfermagem,http://www.editais.ufu.br/node/4274,Estágio UFU,15/06/2018,Não Publ.
HCU/UFU,Edital 026.2018 - CEPEPE – HCU/UFU.,http://www.editais.ufu.br/node/4270,Estágio UFU,13/06/2018,Não Publ.
PET Economia,Edital de Seleção de Alunos Para Ingresso no Pet Economia da Universidade Federal de Uberlândia,http://www.editais.ufu.br/node/4267,Programa PET,11/06/2018,Não Publ.
RP/UFU - Campi Uberlândia,Selação de alunos interessados na RP/UFU - Campi Uberlândia,http://www.editais.ufu.br/node/4250,Estágio UFU,30/05/2018,Não Publ.
RP/UFU - Campi Ituiutaba,Selação de alunos interessados na RP/UFU - Campi Ituiutaba,http://www.editais.ufu.br/node/4251,Estágio UFU,30/05/2018,Não Publ.
PROPLAD,EDITAL UFU/027/2018/PROPLAD,http://www.editais.ufu.br/node/4242,Estágio UFU,23/05/2018,Não Publ.
CEaD,EDITAL UFU/028/2018/CEaD,http://www.editais.ufu.br/node/4244,Estágio UFU,23/05/2018,Não Publ.
FACOM,Processo seletivo do Programa de Pós-graduação em Ciência da Computação para ingresso no Curso de Mestrado Acadêmico e no Curso de Doutorado Acadêmico no segundo semestre letivo de 2018,http://www.editais.ufu.br/node/4233,Mest./Dout./Especializ.,16/05/2018,Não Publ.
Programa de Pós-Graduação em Química,"EDITAL DE ABERTURA DAS INSCRIÇÕES E DO PROCESSO DE SELEÇÃO PARA INGRESSO NO SEGUNDO SEMESTRE DE 2018 NO PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA, NÍVEIS MESTRADO E DOUTORADO",http://www.editais.ufu.br/node/4232,Mest./Dout./Especializ.,15/05/2018,Não Publ.
Instituto de Economia e Relações Internacionais (IERI),Edital de Seleção – Mestrado e Doutorado em Economia – PPGE/UFU – Turma 2019/1,http://www.editais.ufu.br/node/4228,Mest./Dout./Especializ.,09/05/2018,Não Publ.
HCU-UFU,Edital 019.2018 - UCO - UNIDADE CORONARIANA - HCU/UFU,http://www.editais.ufu.br/node/4226,Estágio UFU,08/05/2018,Não Publ.
HCU-UFU,Edital 016.2018 CLÍNICA MÉDICA/HCU – ARTES VISUAIS.,http://www.editais.ufu.br/node/4220,Estágio UFU,07/05/2018,Não Publ.
CEAD,Edital 025/2018/UFU/CEAD,http://www.editais.ufu.br/node/4223,Estágio UFU,07/05/2018,Não Publ.
Centro de Educação a Distância da Universidade Federal de Uberlândia,Edital 024/2018/UFU/CEAD,http://www.editais.ufu.br/node/4218,Estágio UFU,04/05/2018,Não Publ.
IPUFU,EDITAL 022/ 2018/UFU/IPUFU,http://www.editais.ufu.br/node/4208,Estágio UFU,24/04/2018,Não Publ.
Curso de Geografia da Universidade Federal de Uberlândia,Edital de Seleção de Alunos para Ingresso no PET Geografia MEC/UFU 2018,http://www.editais.ufu.br/node/4205,Programa PET,19/04/2018,Não Publ.
ESEBA,EDITAL/ 023/ 2018/ UFU/ ESEBA,http://www.editais.ufu.br/node/4203,Estágio UFU,18/04/2018,Não Publ.
Diretoria de Infraestrutura da Universidade Federal de Uberlândia,EDITAL 021/2018/UFU/PREFE/DIRIE,http://www.editais.ufu.br/node/4199,Estágio UFU,16/04/2018,Não Publ.
PET - FACED,dital PETCNXED/FACED N.01/2018,http://www.editais.ufu.br/node/4182,Programa PET,02/04/2018,Não Publ.
PET BIOLOGIA//INBIO/UFU,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO GRUPO PET BIOLOGIA/UFU-UBERLÂNDIA,http://www.editais.ufu.br/node/4178,Programa PET,29/03/2018,Não Publ.
PET - Matemática,Processo de seleção nº 44 de bolsistas para o PET – Matemática,http://www.editais.ufu.br/node/4181,Programa PET,29/03/2018,Não Publ.
ESTES,Edital 015/2018/UFU/ESTES,http://www.editais.ufu.br/node/4161,Estágio UFU,23/03/2018,Não Publ.
ESTES,Edital 013/2018/UFU/ESTES,http://www.editais.ufu.br/node/4163,Estágio UFU,23/03/2018,Não Publ.
HCU-UFU,Edital 013.2018 Moléstias Infecciosas/HCU,http://www.editais.ufu.br/node/4150,Estágio UFU,22/03/2018,Não Publ.
PET Engenharia de Alimentos,Edital de seleção de alunos para ingresso no PET Engenharia de Alimentos,http://www.editais.ufu.br/node/4151,Programa PET,22/03/2018,Não Publ.
HCU-UFU,Edital 014.2018 Enfermaria de Clínica Médica/HCU,http://www.editais.ufu.br/node/4159,Estágio UFU,22/03/2018,Não Publ.
HCU-UFU,Edital 011.2018 Humanização,http://www.editais.ufu.br/node/4141,Estágio UFU,19/03/2018,Não Publ.
HCU-UFU,Edital 012.2018 Gestão de Nutrição e Dietética,http://www.editais.ufu.br/node/4142,Estágio UFU,19/03/2018,Não Publ.
INCIS,EDITAL 011/2018/UFU/ INCIS,http://www.editais.ufu.br/node/4139,Estágio UFU,16/03/2018,Não Publ.
ESEBA,EDITAL 010/2018/UFU/ESEBA/Educação Especial - Estágio para estudantes de vários cursos,http://www.editais.ufu.br/node/4137,Estágio UFU,15/03/2018,Não Publ.
HCU-UFU,Edital 006.2018 Setor de Capacitação em Saúde/GDHS/HCU/UFU,http://www.editais.ufu.br/node/4135,Estágio UFU,14/03/2018,Não Publ.
HCU-UFU,Edital 010/2018 Bioengenharia - Eng. Civil,http://www.editais.ufu.br/node/4136,Estágio UFU,14/03/2018,Não Publ.
HCU-UFU,Edital 005.2018 Bioengenharia,http://www.editais.ufu.br/node/4126,Estágio UFU,12/03/2018,Não Publ.
HCU-UFU,Edital 003.2018 ENFERMAGEM - GINECOLOGIA e OBSTETRÍCIA,http://www.editais.ufu.br/node/4127,Estágio UFU,12/03/2018,Não Publ.
HCU-UFU,Edital 004.2018 ENFERMAGEM - CENTRO CIRÚRGICO,http://www.editais.ufu.br/node/4128,Estágio UFU,12/03/2018,Não Publ.
HCU-UFU,Edital 007.2018 Gestão de Tecnologia da Informação,http://www.editais.ufu.br/node/4129,Estágio UFU,12/03/2018,Não Publ.
HCU-UFU,Edital 002.2018 CENTRAL DE MONITORAMENTO E ACESSO/GDHS,http://www.editais.ufu.br/node/4130,Estágio UFU,12/03/2018,Não Publ.
DIRPE (Diretoria de Pesquisa da UFU),Programa de Iniciação Científica PIBIC-EM/CNPq/UFU,http://www.editais.ufu.br/node/4132,Inic. Científica,12/03/2018,Não Publ.
HCU/UFU,Edital 001/2018 Medicina - Cirurgia Torácica,http://www.editais.ufu.br/node/4125,Estágio UFU,09/03/2018,Não Publ.
INBIO,Estágio para estudantes de vários cursos,http://www.editais.ufu.br/node/4119,Estágio UFU,07/03/2018,Não Publ.
FAMED,EDITAL 008/ 2018/ UFU/ FAMED,http://www.editais.ufu.br/node/4115,Estágio UFU,05/03/2018,Não Publ.
FACIP/Lab. de Ensino,EDITAL 008/FACIP/Lab. de Ensino/UFU/2018,http://www.editais.ufu.br/node/4110,Estágio UFU,01/03/2018,Não Publ.
NUTESES/FAEFI,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO (A) - NUTESES/FAEFI,http://www.editais.ufu.br/node/4107,Estágio UFU,27/02/2018,Não Publ.
Faculdade de Engenharia Civil,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ENGENHARIA CIVIL,http://www.editais.ufu.br/node/4101,Programa PET,22/02/2018,Não Publ.
DIRPE (Diretoria de Pesquisa da UFU),Convocação de Pós-Graduandos e Pós-doutorandos para participação no Programa de Tutoria Acadêmico/Científica na Graduação – “Doutor Legal”,http://www.editais.ufu.br/node/4091,Mest./Dout./Especializ.,08/02/2018,Não Publ.
